Ticket ID,Customer Name,Email,Phone,Issue Category,Issue Description,Date Created,Resolution Status,Resolution Date
54d055db-b8c8-4df6-a801-e8dc9f4fd135,Leah Forbes,sharon59@example.org,(614)388-9724,Returns and Refunds,Game field growth write together anything very.,2025-01-23,Resolved,2025-01-24
7f419b4f-d939-427d-a47e-32c02ac92c96,Gary Trevino,brianfowler@example.com,(237)658-8788,Shipping,Science window threat brother other pressure instead green take.,2025-01-23,Resolved,2025-01-24
f3c2dd7d-93e4-4e8f-89cc-de524a6ef766,Logan Black,nmurphy@example.org,4305762800,Product Inquiry,Pressure interest sport truth detail resource energy mind medical we commercial assume radio avoid.,2025-01-23,Resolved,2025-01-24
68342685-6aec-473f-9476-69f49ac0303b,Jennifer Miller,david73@example.com,(470)884-7624,Billing,Generation hope both sister through pass there watch.,2025-01-24,Escalated,
a06b3889-762d-4850-be75-2b461bf1f17c,Holly Soto,seancardenas@example.net,(902)310-2979,Billing,All political job value production yes use operation real surface natural.,2025-01-24,Escalated,
e6582c3e-6733-4c0f-b80b-731a11a12349,Emily Williams,justincook@example.com,753-521-2970,Account Management,Very three describe no fund my official trip discover.,2025-01-24,Escalated,
45abc393-8eed-48fd-8d80-fb26fc9605d8,Makayla White,kdiaz@example.com,486-852-0077,Billing,Quickly consumer Mr interview left personal successful service low reveal door.,2025-01-24,Pending,2025-01-24
45abc393-8eed-48fd-8d80-fb26fc9605d8,Makayla White,kdiaz@example.com,486-852-0077,Billing,Quickly consumer Mr interview left personal successful service low reveal door.,2025-01-24,Pending,2025-01-24
62a73366-e9ec-4dcf-84ef-7f4631b26baf,Stacey Rivera,elizabeth47@example.org,9614466393,Returns and Refunds,Thus door indeed political candidate ability.,2025-01-24,Pending,
2b24ee47-80ab-41c3-99f7-41d05f8056f4,Emily Turner,etorres@example.org,(593)464-9250,Shipping,Drive sometimes participant question stand task concern feeling spring small.,2025-01-24,Pending,
be1bfb10-fe59-43a7-9289-bcd09de660e2,Charles Miller,tammy10@example.com,(885)973-0246,Product Inquiry,Meeting north Mrs office else physical.,2025-01-24,Pending,2025-01-24
0519b05f-f28e-4e5d-9c17-d3483a267dac,Gary Trevino,brianfowler@example.com,(237)658-8788,Shipping,Over instead may ask smile ago individual a throughout method edge car.,2025-01-24,Pending,
bf7e992e-91a9-4974-b2cc-6f633138982c,Emily Turner,etorres@example.org,(593)464-9250,Billing,Scientist box these begin guy red son fine sell single.,2025-01-24,Pending,
7b1c80a1-32d7-4f37-b612-3bea6ba83e5d,Emily Williams,justincook@example.com,753-521-2970,Billing,But administration ask fall a social yeah senior tough different another rate break.,2025-01-24,Pending,
7b1c80a1-32d7-4f37-b612-3bea6ba83e5d,Emily Williams,justincook@example.com,753-521-2970,Billing,But administration ask fall a social yeah senior tough different another rate break.,2025-01-24,Pending,
bcd994a8-fe44-4221-8dcc-db9e2e70157a,Gary Trevino,brianfowler@example.com,(237)658-8788,Shipping,Organization leader civil fact hot create hospital he try improve.,2025-01-24,Escalated,
